"","","","",[]
アザレアーノ大森SS / 金政(株),"",岐阜県可児市大森1512-12,0574644399,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
本社SS / 明和商事(有),"",岐阜県揖斐郡大野町小衣斐387-1,0585321566,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
根本SS / 金政(株),"",岐阜県多治見市松坂町1-77,0572273311,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
揖斐川SS / 揖斐石油(株),"",岐阜県揖斐郡揖斐川町和田978-3,0585-22-2748,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
清水SS / 揖斐石油(株),"",岐阜県揖斐郡揖斐川町清水236-3,0585-22-9192,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
金山SS / (有)金山昭石,"",岐阜県下呂市金山町金山2466-1,0576322148,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
池田SS / 揖斐石油(株),"",岐阜県揖斐郡池田町池野198-1,0585-45-2376,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ニューフォーラム関SS / 明和商事(有),"",岐阜県関市下有知5217-1,0575237270,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
栄町SS / (株)川地石油,"",岐阜県大垣市綾野6-118,0584911143,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
今渡SS / 金政(株),"",岐阜県可児市今渡2032-1,0574610544,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
19号瑞浪バイパスSS / (株)西日本宇佐美,"",岐阜県瑞浪市一色町4-88,0572686150,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""営業時間:24時間営業"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥171   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥169   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
258号大垣インターSS / (株)西日本宇佐美,"",岐阜県大垣市浅草1-386,0584896007,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥164   \r\n\t\t\t\t\tハイオク¥176   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
名神養老サービスエリアエネオス,めいしんようろうさーびすえりあえねおす,岐阜県養老郡養老町橋爪1477-24,0584-32-0748,"[""ジャンル:SA/PA/ハイウェイオアシス""]"
19号中津川バイパスSS / (株)西日本宇佐美,"",岐阜県中津川市中津川913-1,0573667785,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥161   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
156号美濃インターSS / (株)西日本宇佐美,"",岐阜県美濃市松森399-1,0575310268,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥161   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥158   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフハンズ西之一色店 / (有)岩田商店,"",岐阜県高山市西之一色町1-93-10,0577324488,"[""ジャンル:伊藤忠"", ""ブランド:伊藤忠"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥167   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
宇佐美 156号美濃インター,"",岐阜県美濃市大字松森字下巾上399番1,0575-31-0268,"[""ジャンル:宇佐美"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
41号下呂SS / (株)西日本宇佐美,"",岐阜県下呂市小川1846-1,0576241511,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
アルファン垂井,あるふあんたるい,岐阜県不破郡垂井町表佐4802-3,0584-22-0819,"[""ジャンル:その他ガソリンスタンド""]"
旧19号瑞浪SS / (株)西日本宇佐美,"",岐阜県瑞浪市土岐町1243,0572686151,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥169   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
イビデン産業株式会社 燃料部 アルファン大垣和合インターSS,いびでんさんぎようかぶしきがいしや/ねんりようぶ/あるふあんおおがきわごういんたーえすえす,岐阜県大垣市小野2-4-1,0584-78-1211,"[""ジャンル:その他ガソリンスタンド""]"
出光興産販売店西濃アポロ株式会社 本部,いでみつこうさんはんばいてんせいのうあぽろかぶしきがいしや/ほんぶ,岐阜県大垣市南頬町4-13,0584-81-7255,"[""ジャンル:出光興産""]"
21号各務原インター東SS / (株)西日本宇佐美,"",岐阜県各務原市小佐野町2-22-1,0583716898,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""営業時間:24時間営業"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥164   \r\n\t\t\t\t\tハイオク¥175   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥1818\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥158   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
足立常孝,あだちつねたか,岐阜県高山市七日町1-24,0577-32-5118,"[""ジャンル:その他ガソリンスタンド""]"
板取石油店,いたどりせきゆてん,岐阜県関市板取生老6549-4,0581-57-2043,"[""ジャンル:その他ガソリンスタンド""]"
伊藤石油株式会社,いとうせきゆかぶしきがいしや,岐阜県海津市南濃町松山475,0584-56-1027,"[""ジャンル:その他ガソリンスタンド""]"
アザレアーノ大森,あざれあーのおおもり,岐阜県可児市大森1512-12,0574-64-4399,"[""ジャンル:その他ガソリンスタンド""]"
イビデン産業株式会社 燃料部 アルファン青柳SS,いびでんさんぎようかぶしきがいしや/ねんりようぶ/あるふあんあおやなぎえすえす,岐阜県大垣市割田2-105,0584-89-3930,"[""ジャンル:その他ガソリンスタンド""]"
イビデン産業株式会社 本社,いびでんさんぎようかぶしきがいしや/ほんしや,岐阜県大垣市内原1-197,0584-89-0777,"[""ジャンル:その他ガソリンスタンド""]"
羽島インターSS / (株)西日本宇佐美,"",岐阜県羽島市上中町長間2566,0583986725,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥163   \r\n\t\t\t\t\tハイオク¥174   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
揖斐石油株式会社 清水給油所,いびせきゆかぶしきがいしや/きよみずきゆうゆしよ,岐阜県揖斐郡揖斐川町清水236-3,0585-22-2192,"[""ジャンル:その他ガソリンスタンド""]"
イビデン産業株式会社 燃料部 アルファン中曽根SS,いびでんさんぎようかぶしきがいしや/ねんりようぶ/あるふあんなかそねえすえす,岐阜県大垣市中曽根町614-1,0584-91-7171,"[""ジャンル:その他ガソリンスタンド""]"
21号大垣SS / (株)西日本宇佐美,"",岐阜県大垣市和合新町2-25,0584734991,"[""ジャンル:エネオス(JX)"", ""ブランド:ENEOS"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
金子石油株式会社,かねこせきゆかぶしきがいしや,岐阜県郡上市八幡町城南町221-1,0575-65-2161,"[""ジャンル:その他ガソリンスタンド""]"
安部石油,あべせきゆ,岐阜県養老郡養老町下笠2238,0584-35-2101,"[""ジャンル:その他ガソリンスタンド""]"
岩塚石油株式会社,いわつかせきゆかぶしきがいしや,岐阜県土岐市駄知町1473-1,0572-59-8394,"[""ジャンル:その他ガソリンスタンド""]"
浅野石油株式会社,あさのせきゆかぶしきがいしや,岐阜県各務原市那加 石山町2-26,058-383-2310,"[""ジャンル:その他ガソリンスタンド""]"
株式会社ジョモネット芥見サービスステーション,かぶしきがいしやじよもねつとあくたみさーびすすてーしよん,岐阜県岐阜市祇園2-49,058-242-2462,"[""ジャンル:その他ガソリンスタンド""]"
金政株式会社 油槽所配送部,かねまさかぶしきがいしや/ゆそうしよはいそうぶ,岐阜県多治見市平和町1-6,0572-23-0368,"[""ジャンル:その他ガソリンスタンド""]"
アラビア石油,あらびあせきゆ,岐阜県安八郡神戸町大字川西465-27,0584-27-5807,"[""ジャンル:その他ガソリンスタンド""]"
大平石油 忠節給油所,おおひらせきゆ/ちゆうせつきゆうゆしよ,岐阜県岐阜市忠節町1-26,058-264-2386,"[""ジャンル:その他ガソリンスタンド""]"
株式会社大塚石油,かぶしきがいしやおおつかせきゆ,岐阜県岐阜市則武1837-1,058-232-2521,"[""ジャンル:その他ガソリンスタンド""]"
金政株式会社 今渡サービスステーション,かねまさかぶしきがいしや/いまわたりさーびすすてーしよん,岐阜県可児市今渡2032-1,0574-60-1138,"[""ジャンル:その他ガソリンスタンド""]"
株式会社三栄商事,かぶしきがいしやさんえいしようじ,岐阜県本巣郡北方町北方120-4,058-324-0757,"[""ジャンル:その他ガソリンスタンド""]"
株式会社赤壁商会,かぶしきがいしやあかかべしようかい,岐阜県大垣市赤坂町249,0584-71-0034,"[""ジャンル:その他ガソリンスタンド""]"
株式会社岩塚石油,かぶしきがいしやいわつかせきゆ,岐阜県岐阜市芋島1-11-5,058-245-2607,"[""ジャンル:その他ガソリンスタンド""]"
小野商事株式会社,おのしようじかぶしきがいしや,岐阜県岐阜市薮田南1-1-8,058-271-8906,"[""ジャンル:その他ガソリンスタンド""]"
株式会社イドムコDr．Drive車検センター,かぶしきがいしやいどむこどくたあどらいぶしやけんせんたー,岐阜県可児市皐ケ丘1-1-3,0120-32-9019,"[""ジャンル:その他ガソリンスタンド""]"
株式会社岩正商店,かぶしきがいしやいわしようしようてん,岐阜県羽島市正木町 曲利1033,058-392-2211,"[""ジャンル:その他ガソリンスタンド""]"
株式会社ジョモネット いちょう通りサービスステーション,かぶしきがいしやじよもねつと/いちようどおりさーびすすてーしよん,岐阜県各務原市蘇原 希望町4-31-1,058-380-1007,"[""ジャンル:その他ガソリンスタンド""]"
株式会社角田石油,かぶしきがいしやかくだせきゆ,岐阜県岐阜市西野町7-12,058-251-6813,"[""ジャンル:その他ガソリンスタンド""]"
株式会社大見商店 下有知給油所,かぶしきがいしやだいけんしようてん/しもうちきゆうゆじよ,岐阜県関市下有知4089,0575-22-6212,"[""ジャンル:その他ガソリンスタンド""]"
株式会社油茂商店糸貫町給油所,かぶしきがいしやあぶもしようてんいとぬきちようきゆうゆしよ,岐阜県本巣市三橋1101-19,058-320-4550,"[""ジャンル:その他ガソリンスタンド""]"
"","","","",[]
株式会社セイノー商事 和合サービスステーション,かぶしきがいしやせいのーしようじ/わごうさーびすすてーしよん,岐阜県大垣市小野2-4-1,0584-74-4150,"[""ジャンル:その他ガソリンスタンド""]"
株式会社田口石油店 本社,かぶしきがいしやたぐちせきゆてん/ほんしや,岐阜県多治見市大畑町5-193,0572-22-8265,"[""ジャンル:その他ガソリンスタンド""]"
株式会社大見商店,かぶしきがいしやだいけんしようてん,岐阜県関市新町13,0575-22-0154,"[""ジャンル:その他ガソリンスタンド""]"
株式会社瑞浪日石 本社,かぶしきがいしやみずなみにつせき/ほんしや,岐阜県瑞浪市一色町2-116,0572-68-4634,"[""ジャンル:その他ガソリンスタンド""]"
株式会社大兵商店 夜間用,かぶしきがいしやだいひようしようてん/やかんよう,岐阜県羽島郡笠松町美笠通1-45,058-387-3029,"[""ジャンル:その他ガソリンスタンド""]"
株式会社橋戸商店 オイルデリバリー・灯油配送,かぶしきがいしやはしとしようてん/おいるでりばりーとうゆはいそう,岐阜県飛騨市古川町袈裟丸1229,0120-73-8833,"[""ジャンル:その他ガソリンスタンド""]"
株式会社小栗屋 配送センター,かぶしきがいしやおぐりや/はいそうせんたー,岐阜県中津川市手賀野会所沢174-48,0120-81-2098,"[""ジャンル:その他ガソリンスタンド""]"
株式会社満留肥商店,かぶしきがいしやまるひしようてん,岐阜県多治見市本町5-6-3,0572-22-2171,"[""ジャンル:その他ガソリンスタンド""]"
株式会社二三石油山口店,かぶしきがいしやにいさんせきゆやまぐちてん,岐阜県中津川市山口3096-2,0573-75-4346,"[""ジャンル:その他ガソリンスタンド""]"
河田商事株式会社 各務原SS,かわだしようじかぶしきがいしや/かかみがはらえすえす,岐阜県各務原市那加 信長町2-95,058-382-3158,"[""ジャンル:その他ガソリンスタンド""]"
株式会社山善商店設備工事グループ,かぶしきがいしややまぜんしようてんせつびこうじぐるーぷ,岐阜県高山市昭和町1-167-1,0577-33-0371,"[""ジャンル:その他ガソリンスタンド""]"
株式会社平手石油店 可児ひろみサービスステーション,かぶしきがいしやひらてせきゆてん/かにひろみさーびすすてーしよん,岐阜県可児市広見2359-11,0574-62-5101,"[""ジャンル:その他ガソリンスタンド""]"
株式会社みの谷 国府給油所,かぶしきがいしやみのたに/こくふきゆうゆしよ,岐阜県高山市国府町上広瀬482-1,0577-72-3391,"[""ジャンル:その他ガソリンスタンド""]"
株式会社ユーワン山の田給油所,かぶしきがいしやゆーわんやまのだきゆうゆしよ,岐阜県中津川市瀬戸1332,0573-65-3325,"[""ジャンル:その他ガソリンスタンド""]"
岐西興産株式会社 揖斐川給油所,ぎせいこうさんかぶしきがいしや/いびがわきゆうゆしよ,岐阜県揖斐郡揖斐川町極楽寺148-4,0585-22-0725,"[""ジャンル:その他ガソリンスタンド""]"
株式会社深尾商店 プロパン部,かぶしきがいしやふかおしようてん/ぷろぱんぶ,岐阜県山県市高富1212-1,0581-22-1011,"[""ジャンル:その他ガソリンスタンド""]"
株式会社満留肥商店 明和給油所,かぶしきがいしやまるひしようてん/めいわきゆうゆしよ,岐阜県多治見市明和町1-133,0572-27-6264,"[""ジャンル:その他ガソリンスタンド""]"
神谷石油店,かみやせきゆてん,岐阜県岐阜市福光西2-7-1,058-231-1633,"[""ジャンル:その他ガソリンスタンド""]"
"","","","",[]
きたちょう一之町給油所,きたちよういちのまちきゆうゆしよ,岐阜県高山市下一之町80,0577-32-0701,"[""ジャンル:その他ガソリンスタンド""]"
岐阜昭石株式会社 入舟町サービスステーション,ぎふしようせきかぶしきがいしや/いりふねちようさーびすすてーしよん,岐阜県岐阜市入舟町3-8,058-246-1623,"[""ジャンル:その他ガソリンスタンド""]"
岐阜日石株式会社,ぎふにつせきかぶしきがいしや,岐阜県岐阜市東金宝町2-2,058-262-6121,"[""ジャンル:その他ガソリンスタンド""]"
岐阜シェル石油販売株式会社 茜部給油所,ぎふしえるせきゆはんばいかぶしきがいしや/あかべきゆうゆしよ,岐阜県岐阜市茜部 中島3-72-1,058-273-3251,"[""ジャンル:その他ガソリンスタンド""]"
さのや石油,さのやせきゆ,岐阜県山県市大門922-5,0581-36-3540,"[""ジャンル:その他ガソリンスタンド""]"
岐阜日石株式会社 愛宕町サービスステーション,ぎふにつせきかぶしきがいしや/あたごちようさーびすすてーしよん,岐阜県岐阜市加納 愛宕町21,058-271-4649,"[""ジャンル:その他ガソリンスタンド""]"
岐阜昭石株式会社 鹿島町サービスステーション,ぎふしようせきかぶしきがいしや/かしまちようさーびすすてーしよん,岐阜県岐阜市鹿島町7-8,058-253-7076,"[""ジャンル:その他ガソリンスタンド""]"
新日本ガス株式会社益田支店,しんにほんがすかぶしきがいしやましたしてん,岐阜県下呂市萩原町宮田1472-3,0576-54-1567,"[""ジャンル:その他ガソリンスタンド""]"
岐阜日石株式会社 セルフステーション東鶉,ぎふにつせきかぶしきがいしや/せるふすてーしよんひがしうずら,岐阜県岐阜市東鶉3-1,058-275-4465,"[""ジャンル:その他ガソリンスタンド""]"
JAひだ 森茂給油所,じえいえいひだ/もりもきゆうゆしよ,岐阜県飛騨市神岡町森茂1514-1,0578-82-2538,"[""ジャンル:その他ガソリンスタンド""]"
久世商事有限会社,くぜしようじゆうげんがいしや,岐阜県岐阜市折立880-2,058-239-0351,"[""ジャンル:その他ガソリンスタンド""]"
鈴木総合商事株式会社 白川営業所,すずきそうごうしようじかぶしきがいしや/しらかわえいぎようしよ,岐阜県加茂郡白川町河岐1602,0574-72-1207,"[""ジャンル:その他ガソリンスタンド""]"
西濃アポロ株式会社 大垣インター給油所,せいのうあぽろかぶしきがいしや/おおがきいんたーきゆうゆしよ,岐阜県大垣市外渕4-42,0584-89-2221,"[""ジャンル:その他ガソリンスタンド""]"
近藤満石油株式会社 名岐バイパス岐阜給油所,こんどうまんせきゆかぶしきがいしや/めいぎばいぱすぎふきゆうゆしよ,岐阜県羽島郡笠松町円城寺820-1,058-387-0161,"[""ジャンル:その他ガソリンスタンド""]"
"","","","",[]
西濃アポロ株式会社 岐大バイパス大垣給油所,せいのうあぽろかぶしきがいしや/ぎだいばいぱすおおがききゆうゆしよ,岐阜県大垣市加賀野2-56,0584-74-5537,"[""ジャンル:その他ガソリンスタンド""]"
大黒石油,だいこくせきゆ,岐阜県揖斐郡揖斐川町市場401-4,0585-22-3932,"[""ジャンル:その他ガソリンスタンド""]"
篠田商事株式会社 本社,しのだしようじかぶしきがいしや/ほんしや,岐阜県岐阜市都通4-21,058-251-3201,"[""ジャンル:その他ガソリンスタンド""]"
JAめぐみの 大和西給油所,じえいえいめぐみの/やまとにしきゆうゆしよ,岐阜県郡上市大和町島2510,0575-88-2256,"[""ジャンル:その他ガソリンスタンド""]"
岐阜日石株式会社 有限会社オートランド岐阜 鈑金塗装工場,ぎふにつせきかぶしきがいしや/ゆうげんがいしやおーとらんどぎふ/ばんきんとそうこうじよう,岐阜県岐阜市六条江東3-3-5,058-275-3900,"[""ジャンル:その他ガソリンスタンド""]"
住吉石油株式会社 下呂国道給油所,すみよしせきゆかぶしきがいしや/げろこくどうきゆうゆしよ,岐阜県下呂市小川1813-2,0576-25-4568,"[""ジャンル:オートバイ販売/修理""]"
シンワ菱油株式会社 本社,しんわりようゆかぶしきがいしや/ほんしや,岐阜県関市小瀬2823,0575-22-5591,"[""ジャンル:その他ガソリンスタンド""]"
西濃アポロ株式会社 大垣東給油所,せいのうあぽろかぶしきがいしや/おおがきひがしきゆうゆしよ,岐阜県大垣市中ノ江3-14,0584-73-8337,"[""ジャンル:その他ガソリンスタンド""]"
岐阜日石株式会社 配送センター,ぎふにつせきかぶしきがいしや/はいそうせんたー,岐阜県岐阜市華陽1-7,058-245-4746,"[""ジャンル:その他ガソリンスタンド""]"
岐阜日石株式会社 有限会社オートランド岐阜 鈑金塗装工場,ぎふにつせきかぶしきがいしや/ゆうげんがいしやおーとらんどぎふ/ばんきんとそうこうじよう,岐阜県岐阜市六条江東3-3-5,058-275-3900,"[""ジャンル:その他ガソリンスタンド""]"
田中石油バイパスSS,たなかせきゆばいぱすえすえす,岐阜県飛騨市古川町上町1294-1,0577-73-5733,"[""ジャンル:その他ガソリンスタンド""]"
沢義石油株式会社,さわよしせきゆかぶしきがいしや,岐阜県岐阜市野一色5-11-12,058-245-0087,"[""ジャンル:その他ガソリンスタンド""]"
第一石油株式会社,だいいちせきゆかぶしきがいしや,岐阜県岐阜市上加納山4717-44,058-245-0184,"[""ジャンル:その他ガソリンスタンド""]"
土本博司,つちもとひろし,岐阜県土岐市土岐津町 土岐口748-1,0572-55-2221,"[""ジャンル:その他ガソリンスタンド""]"
瀬戸石油店 飯羽間給油所,せとせきゆてん/いいばまきゆうゆしよ,岐阜県恵那市岩村町飯羽間2384-4,0573-43-2045,"[""ジャンル:その他ガソリンスタンド""]"
東濃石油株式会社 益見LPG充填工場,とうのうせきゆかぶしきがいしや/ますみえるぴいじいじゆうてんこうじよう,岐阜県瑞浪市土岐町7987,0572-68-7206,"[""ジャンル:その他ガソリンスタンド""]"
大日石油株式会社,だいにちせきゆかぶしきがいしや,岐阜県岐阜市清本町8-2,058-271-0463,"[""ジャンル:その他ガソリンスタンド""]"
長屋強,ながやつよし,岐阜県関市板取生老6549-4,0581-57-2805,"[""ジャンル:その他ガソリンスタンド""]"
トライアングル,とらいあんぐる,岐阜県土岐市肥田町 浅野813-5,0572-55-3859,"[""ジャンル:その他ガソリンスタンド""]"
ハートランドたじみ,はーとらんどたじみ,岐阜県多治見市下沢町3-9-2,0572-22-6255,"[""ジャンル:その他ガソリンスタンド""]"
東美濃農協 恵那給油所,ひがしみののうきよう/えなきゆうゆしよ,岐阜県恵那市長島町 永田575-1,0573-26-0701,"[""ジャンル:その他ガソリンスタンド""]"
寺田商店,てらだしようてん,岐阜県高山市丹生川町旗鉾230,0577-79-2040,"[""ジャンル:その他ガソリンスタンド""]"
則竹石油株式会社 配送センター,のりたけせきゆかぶしきがいしや/はいそうせんたー,岐阜県美濃加茂市前平町1-52,0574-26-4112,"[""ジャンル:その他ガソリンスタンド""]"
昭洋商事株式会社 記念橋サービスステーション,しようようしようじかぶしきがいしや/きねんばしさーびすすてーしよん,岐阜県多治見市明治町2-4,0572-21-3838,"[""ジャンル:その他ガソリンスタンド""]"
辻石油株式会社,つじせきゆかぶしきがいしや,岐阜県岐阜市六条大溝3-1-16,"","[""ジャンル:その他ガソリンスタンド""]"
古田石油,ふるたせきゆ,岐阜県関市武芸川町谷口1236-2,0575-46-3623,"[""ジャンル:その他ガソリンスタンド""]"
中部石油株式会社 南給油所,ちゆうぶせきゆかぶしきがいしや/みなみきゆうゆしよ,岐阜県郡上市白鳥町為真142-1,0575-82-2552,"[""ジャンル:その他ガソリンスタンド""]"
中濃石油店,ちゆうのうせきゆてん,岐阜県関市広見2025-2,0575-22-0368,"[""ジャンル:その他ガソリンスタンド""]"
濃飛石油株式会社,のうひせきゆかぶしきがいしや,岐阜県高山市名田町2-103,0577-32-3500,"[""ジャンル:その他ガソリンスタンド""]"
福田石油店,ふくだせきゆてん,岐阜県本巣郡北方町平成1-36,058-324-0628,"[""ジャンル:その他ガソリンスタンド""]"
マスタメ石油,ますためせきゆ,岐阜県土岐市妻木町831,0572-57-6382,"[""ジャンル:その他ガソリンスタンド""]"
中日本エクシス虎渓山パーキングエリア上り線ガスステーション,なかにほんえくしすこけいざんぱーきんぐえりあのぼりせんがすすてーしよん,岐阜県多治見市虎渓山町3-103-1,0572-21-4805,"[""ジャンル:SA/PA/ハイウェイオアシス""]"
日の出石油,ひのでせきゆ,岐阜県関市富之保2146-7,0575-49-3131,"[""ジャンル:その他ガソリンスタンド""]"
堀石油店,ほりせきゆてん,岐阜県恵那市串原大竹547,0573-52-2133,"[""ジャンル:その他ガソリンスタンド""]"
ヤマオカアイオン商事株式会社,やまおかあいおんしようじかぶしきがいしや,岐阜県恵那市山岡町下手向1163,0573-56-3000,"[""ジャンル:その他ガソリンスタンド""]"
安田屋石油有限会社,やすだやせきゆゆうげんがいしや,岐阜県中津川市苗木4674-1,0573-67-2351,"[""ジャンル:その他ガソリンスタンド""]"
マルや興産株式会社,まるやこうさんかぶしきがいしや,岐阜県岐阜市六条片田1-12-7,058-271-4471,"[""ジャンル:その他ガソリンスタンド""]"
三葉屋石油店,みつばやせきゆてん,岐阜県恵那市飯地町162-2,0573-22-3016,"[""ジャンル:その他ガソリンスタンド""]"
山本石油株式会社ウイングミサカ給油所,やまもとせきゆかぶしきがいしやういんぐみさかきゆうゆしよ,岐阜県中津川市茄子川2077-59,0573-68-6461,"[""ジャンル:その他ガソリンスタンド""]"
有限会社岩田商店 荘川営業所,ゆうげんがいしやいわたしようてん/しようかわえいぎようしよ,岐阜県高山市荘川町六厩854-27,05769-2-3010,"[""ジャンル:その他ガソリンスタンド""]"
ヤマカ株式会社 日石ヨーネン東濃ターミナル,やまかかぶしきがいしや/につせきよーねんとうのうたーみなる,岐阜県多治見市京町4-23,0572-23-7802,"[""ジャンル:その他ガソリンスタンド""]"
"","","","",[]
"","","","",[]
山本石油株式会社 中央道恵那峡サービスエリア給油所,やまもとせきゆかぶしきがいしや/ちゆうおうどうえなきようさーびすえりあきゆうゆしよ,岐阜県恵那市大井町1120,0573-26-1171,"[""ジャンル:その他ガソリンスタンド""]"
"","","","",[]
有限会社稲富石油 大野SS,ゆうげんがいしやいなとみせきゆ/おおのえすえす,岐阜県揖斐郡大野町大字黒野81-2,0585-32-3324,"[""ジャンル:その他ガソリンスタンド""]"
有限会社小野石油店,ゆうげんがいしやおのせきゆてん,岐阜県郡上市八幡町小野2-4,0575-65-3616,"[""ジャンル:その他ガソリンスタンド""]"
むとう整体院,むとうせいたいいん,岐阜県飛騨市古川町南成町2-20,0577-73-5516,"[""ジャンル:その他ガソリンスタンド""]"
